name,area,bhk,type,projectId
Sangini Group,"Vesu, Adajan, Pal, Jahangirpura, Saroli, Kumbharia","1BHK Apartment, 2BHK Apartment, 3BHK Apartment, 4BHK Apartment,5BHK Apartment, Offices, Shops","Residential,Commercial",
Alpine Galaxy,Olpad ,"1BHK Apartment, 2BHK Apartment, 3BHK Apartment, 4BHK Apartment,5BHK Apartment, Row House, Bunglows","Residential,Commercial",5f8e778159cbc3001824c348
aakash group,"Vesu, dumas, piplod","1BHK Apartment, 2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment,Vacation Homes, Shops","Residential,Commercial",
Shree Krishna Group/ATLANTA,"Vesu, Althan ","2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Residential Plots, Offices, Shops","Residential,Commercial",5f8e6f4859cbc3001824c15a
Prince Innovators,"Bamroli( Vraj Resedency ), Vadod Bhestan( Akash Prithvi), GOpal Textile Market (Sion Sugar Factory),Prince Heights ( Navsari  )","1BHK Apartment, 2BHK Apartment, Industrial Plots","Residential,Commercial",
Laxmi Developers,Ahmedavad,"3BHK Apartment, 4BHK Apartment, 5BHK Apartment",Residential,
Laxmi Developers (VIP stall),Ring Road/ Anjana/ Bhatena,"Offices, Shops",Commercial,
PINNACLE DEVELOPERS,"Sonari-Jiyav Road,SURAT","2BHK Apartment, 3BHK Apartment, Shops","Residential,Commercial",
PROCOM - Test,"Adajan, Vesu","3BHK Apartment, 4BHK Apartment,5BHK Apartment, Row House, Banglows,  Vacation Homes",Residential,
DMD Developers Pvt Ltd,"Saroli, Vesu","2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Row House, Bunglows, Vacation Homes, Offices, Shops,",,
Sangini Group,"Adajan, Pal, Rander, Jahangirpura","1BHK Apartment, 2BHK Apartment, 3BHK Apartment, Offices, Shops","Residential,Commercial",
SNS DEVELOPERS,Vesu,"3BHK, Commercial smart, mid & small size office space and show rooms","Residential,Commercial",
Prayosha Group,"Dindoli,Punagam,Varachha","2BHK Apartment, 3BHK Apartment",Residential,
Samarth Builders,Vesu,"3 BHK Apartment, 4 BHK Appartment",Residential,
OLIVA (PRESTIGE CORPORATION),Althan ,"2BHK Apartment, 3BHK Apartment, 4BHK Apartment, 5BHK Apartment, Shops","Residential,Commercial",5f8a8c53a2a69f0011f5f916
shree krishna corporation,Vesu,"Offices, Shops",Commercial,
white wings,"Vesu, Ring Road, Althan-Bhimrad, Ubharat, Navsari Road","3BHK Apartment, 4BHK Apartment,5BHK Apartment,Vacation Homes,Plots, Offices, Shops","Residential,Commercial",5f8f47a030d0810011c013ac
Syngora Sky,Adajan,3BHK Apartment,Residential,5f8eddac30d0810011c00a86
